Time_RT,Interval Start,Interval End_RT,Market_RT,Location Id_RT,Location Name_RT,Location Short Name_RT,Location Type_RT,LMP_RT,Energy_RT,Congestion_RT,Loss_RT,Time_DA,Interval End_DA,Market_DA,Location Id_DA,Location Name_DA,Location Short Name_DA,Location Type_DA,LMP_DA,Energy_DA,Congestion_DA,Loss_DA
2025-01-01 00:00:00-05:00,2025-01-01 00:00:00-05:00,2025-01-01 01:00:00-05:00,REAL_TIME_HOURLY,51287.0,WEST INT HUB,WEST INT HUB,HUB,19.619954,19.73,0.015694,-0.127407,2025-01-01 00:00:00-05:00,2025-01-01 01:00:00-05:00,DAY_AHEAD_HOURLY,51287,WEST INT HUB,WEST INT HUB,HUB,21.328334,21.26,0.15,-0.081666
2025-01-01 01:00:00-05:00,2025-01-01 01:00:00-05:00,2025-01-01 02:00:00-05:00,REAL_TIME_HOURLY,51287.0,WEST INT HUB,WEST INT HUB,HUB,19.918843,19.99,0.013009,-0.0875,2025-01-01 01:00:00-05:00,2025-01-01 02:00:00-05:00,DAY_AHEAD_HOURLY,51287,WEST INT HUB,WEST INT HUB,HUB,21.114444,20.96,0.171111,-0.016667
2025-01-01 02:00:00-05:00,2025-01-01 02:00:00-05:00,2025-01-01 03:00:00-05:00,REAL_TIME_HOURLY,51287.0,WEST INT HUB,WEST INT HUB,HUB,19.032731,19.07,0.002315,-0.042083,2025-01-01 02:00:00-05:00,2025-01-01 03:00:00-05:00,DAY_AHEAD_HOURLY,51287,WEST INT HUB,WEST INT HUB,HUB,20.695555,20.42,0.285555,-0.01
2025-01-01 03:00:00-05:00,2025-01-01 03:00:00-05:00,2025-01-01 04:00:00-05:00,REAL_TIME_HOURLY,51287.0,WEST INT HUB,WEST INT HUB,HUB,19.197361,19.21,0.011806,-0.026944,2025-01-01 03:00:00-05:00,2025-01-01 04:00:00-05:00,DAY_AHEAD_HOURLY,51287,WEST INT HUB,WEST INT HUB,HUB,20.722778,20.45,0.276667,-0.003889
2025-01-01 04:00:00-05:00,2025-01-01 04:00:00-05:00,2025-01-01 05:00:00-05:00,REAL_TIME_HOURLY,51287.0,WEST INT HUB,WEST INT HUB,HUB,19.36875,19.38,0.019954,-0.03037,2025-01-01 04:00:00-05:00,2025-01-01 05:00:00-05:00,DAY_AHEAD_HOURLY,51287,WEST INT HUB,WEST INT HUB,HUB,20.688333,20.46,0.295555,-0.067222
2025-01-01 05:00:00-05:00,2025-01-01 05:00:00-05:00,2025-01-01 06:00:00-05:00,REAL_TIME_HOURLY,51287.0,WEST INT HUB,WEST INT HUB,HUB,19.411389,19.42,0.046852,-0.050463,2025-01-01 05:00:00-05:00,2025-01-01 06:00:00-05:00,DAY_AHEAD_HOURLY,51287,WEST INT HUB,WEST INT HUB,HUB,20.858889,20.78,0.315,-0.236111
2025-01-01 06:00:00-05:00,2025-01-01 06:00:00-05:00,2025-01-01 07:00:00-05:00,REAL_TIME_HOURLY,51287.0,WEST INT HUB,WEST INT HUB,HUB,19.168056,19.13,0.107546,-0.071157,2025-01-01 06:00:00-05:00,2025-01-01 07:00:00-05:00,DAY_AHEAD_HOURLY,51287,WEST INT HUB,WEST INT HUB,HUB,21.837222,21.64,0.468333,-0.271111
2025-01-01 07:00:00-05:00,2025-01-01 07:00:00-05:00,2025-01-01 08:00:00-05:00,REAL_TIME_HOURLY,51287.0,WEST INT HUB,WEST INT HUB,HUB,19.526852,19.59,0.039167,-0.097315,2025-01-01 07:00:00-05:00,2025-01-01 08:00:00-05:00,DAY_AHEAD_HOURLY,51287,WEST INT HUB,WEST INT HUB,HUB,26.029444,25.66,0.714444,-0.345
2025-01-01 08:00:00-05:00,2025-01-01 08:00:00-05:00,2025-01-01 09:00:00-05:00,REAL_TIME_HOURLY,51287.0,WEST INT HUB,WEST INT HUB,HUB,18.998704,19.07,0.032778,-0.102407,2025-01-01 08:00:00-05:00,2025-01-01 09:00:00-05:00,DAY_AHEAD_HOURLY,51287,WEST INT HUB,WEST INT HUB,HUB,24.651111,24.54,0.369444,-0.258333
2025-01-01 09:00:00-05:00,2025-01-01 09:00:00-05:00,2025-01-01 10:00:00-05:00,REAL_TIME_HOURLY,51287.0,WEST INT HUB,WEST INT HUB,HUB,18.30588,18.29,0.068333,-0.055787,2025-01-01 09:00:00-05:00,2025-01-01 10:00:00-05:00,DAY_AHEAD_HOURLY,51287,WEST INT HUB,WEST INT HUB,HUB,23.062778,23.17,0.124444,-0.231666
