"","traffic_volume","holiday","temp","rain_1h","snow_1h","clouds_all","weather_main","date_","hr"
"1",1513,"New Years Day",265.94,0,0,90,"Haze",2016-01-01,0
"2",1513,"New Years Day",265.94,0,0,90,"Snow",2016-01-01,0
"3",1550,"None",266,0,0,90,"Snow",2016-01-01,1
"4",719,"None",266.01,0,0,90,"Snow",2016-01-01,3
"5",533,"None",264.8,0,0,90,"Clouds",2016-01-01,4
"6",586,"None",264.38,0,0,90,"Clouds",2016-01-01,5
"7",809,"None",263.99,0,0,1,"Clear",2016-01-01,6
"8",882,"None",264.16,0,0,1,"Clear",2016-01-01,7
"9",1077,"None",264.8,0,0,75,"Clouds",2016-01-01,8
"10",1574,"None",265.76,0,0,90,"Clouds",2016-01-01,9
"11",2059,"None",267.61,0,0,40,"Clouds",2016-01-01,10
"12",3206,"None",269.43,0,0,1,"Clear",2016-01-01,12
"13",3498,"None",271.77,0,0,1,"Clear",2016-01-01,13
"14",3453,"None",271.98,0,0,1,"Clear",2016-01-01,14
"15",3359,"None",271.93,0,0,1,"Clear",2016-01-01,16
"16",2899,"None",269.4,0,0,1,"Clear",2016-01-01,18
"17",2134,"None",267.65,0,0,1,"Clear",2016-01-01,20
"18",1845,"None",266.52,0,0,1,"Clear",2016-01-01,21
"19",1280,"None",265.51,0,0,1,"Clear",2016-01-01,23
"20",633,"None",264.87,0,0,1,"Clear",2016-01-02,1
"21",655,"None",263.58,0,0,1,"Clear",2016-01-02,2
"22",659,"None",263.76,0,0,1,"Clear",2016-01-02,3
"23",378,"None",263.24,0,0,1,"Clear",2016-01-02,4
"24",610,"None",263.09,0,0,1,"Clear",2016-01-02,5
"25",1043,"None",263.14,0,0,1,"Clear",2016-01-02,6
"26",1440,"None",263.39,0,0,1,"Clear",2016-01-02,7
"27",1880,"None",264.19,0,0,1,"Clear",2016-01-02,8
"28",2715,"None",264.99,0,0,1,"Clear",2016-01-02,9
"29",3153,"None",267.69,0,0,1,"Clear",2016-01-02,10
"30",4236,"None",269.82,0,0,1,"Clear",2016-01-02,12
"31",4426,"None",272.08,0,0,1,"Clear",2016-01-02,13
"32",4513,"None",272.57,0,0,1,"Clear",2016-01-02,15
"33",4498,"None",271.62,0,0,1,"Clear",2016-01-02,17
"34",3148,"None",269.96,0,0,1,"Clear",2016-01-02,19
"35",2649,"None",269.35,0,0,5,"Clear",2016-01-02,21
"36",2552,"None",269.15,0,0,75,"Clouds",2016-01-02,22
"37",1830,"None",269.56,0,0,90,"Clouds",2016-01-02,23
"38",931,"None",269.89,0,0,90,"Clouds",2016-01-03,0
"39",633,"None",270.26,0,0,90,"Clouds",2016-01-03,1
"40",659,"None",270.24,0,0,90,"Clouds",2016-01-03,3
