timestamp,usd_hashprice,btc_hashprice
2/1/25,60.26,0.00058862
1/31/25,61.16,0.00058802
1/30/25,61.74,0.00058745
1/29/25,60.2,0.0005874
1/28/25,60.24,0.00058848
1/27/25,58.83,0.00058605
1/26/25,60.31,0.00057544
1/25/25,60.52,0.00057811
1/24/25,60.69,0.0005777
1/23/25,59.64,0.00057774
1/22/25,60.9,0.00058055
1/21/25,60.82,0.00058564
1/20/25,60.59,0.00057944
1/19/25,60.36,0.0005772
1/18/25,60.02,0.00057841
1/17/25,59.67,0.00058039
1/16/25,57.69,0.00057965
1/15/25,56.61,0.00057727
1/14/25,55.48,0.00057872
1/13/25,53.58,0.00057619
1/12/25,54.65,0.00057834
1/11/25,54.81,0.00058083
1/10/25,54.73,0.00058085
1/9/25,54.48,0.0005831
1/8/25,55.67,0.00058316
1/7/25,58.2,0.00058259
1/6/25,58.08,0.00057974
1/5/25,56.86,0.00057984
1/4/25,56.86,0.00058016
1/3/25,56.35,0.00057965
1/2/25,55.63,0.00057835
1/1/25,54.45,0.00058059
12/31/24,54.29,0.00057997
12/30/24,54.25,0.0005815
12/29/24,55.3,0.00058563
12/28/24,55.51,0.00058698
12/27/24,56.18,0.00058853
12/26/24,56.92,0.00058893
12/25/24,58.12,0.0005907
12/24/24,56.88,0.00059368
12/23/24,55.93,0.00059085
12/22/24,56.81,0.00059044
12/21/24,58.31,0.00059714
12/20/24,58.29,0.00060507
12/19/24,60.11,0.00059999
12/18/24,61.97,0.00059618
12/17/24,63.47,0.00059464
12/16/24,62.66,0.00059484
12/15/24,63.5,0.00061934
12/14/24,63.05,0.00062109
12/13/24,62.65,0.00062337
12/12/24,63.81,0.00063302
12/11/24,62.04,0.00062734
12/10/24,60.35,0.00062281
12/9/24,61.58,0.00062515
12/8/24,62.44,0.00062529
12/7/24,62.92,0.00063052
12/6/24,61.74,0.00062371
12/5/24,62.88,0.00062157
12/4/24,60.03,0.00062182
12/3/24,59.92,0.00062712
12/2/24,62.17,0.00064693
12/1/24,60.77,0.00062697
11/30/24,61.03,0.0006308
11/29/24,61.48,0.00063469
11/28/24,60.29,0.00063161
11/27/24,59.85,0.00063499
11/26/24,58.91,0.00063246
11/25/24,60.75,0.00062742
11/24/24,61.56,0.00063118
11/23/24,63.2,0.00064217
11/22/24,62.88,0.00063633
11/21/24,62.77,0.00064605
11/20/24,60.28,0.00064538
11/19/24,58.89,0.00064011
11/18/24,57.68,0.00063393
11/17/24,57.12,0.00063218
11/16/24,60.77,0.00066702
11/15/24,58.64,0.00065751
11/14/24,58.78,0.00065524
11/13/24,57.47,0.00064537
11/12/24,56.84,0.00064543
11/11/24,52.7,0.00063316
11/10/24,50.35,0.00063594
11/9/24,48.36,0.00063273
11/8/24,47.89,0.00062827
11/7/24,47.34,0.00062755
11/6/24,46.62,0.00062851
11/5/24,43.27,0.0006273
11/4/24,45.37,0.00066297
11/3/24,45.67,0.00066692
11/2/24,46.49,0.00066885
11/1/24,46.75,0.00067078
10/31/24,53.09,0.00074256
10/30/24,48.31,0.00066891
10/29/24,48.01,0.00067072
10/28/24,45.74,0.00066664
10/27/24,45.12,0.00066977
10/26/24,45.67,0.00068247
10/25/24,49.69,0.00073524
10/24/24,46.78,0.00069305
10/23/24,46.17,0.00069357
10/22/24,47.8,0.00071021
10/21/24,47.77,0.00070109
10/20/24,47.94,0.00070037
10/19/24,48.61,0.00071182
10/18/24,49.94,0.00073313
10/17/24,53.27,0.0007922
10/16/24,48.95,0.00072518
10/15/24,47.6,0.00072038
10/14/24,46.8,0.00072251
10/13/24,46.05,0.00073427
10/12/24,47.72,0.00075844
10/11/24,44.75,0.00072748
10/10/24,43.16,0.00071334
10/9/24,44.11,0.00071356
10/8/24,45.84,0.00073462
10/7/24,46.01,0.00072609
10/6/24,45.31,0.00072766
10/5/24,44.96,0.00072449
10/4/24,44.41,0.0007215
10/3/24,43.87,0.00072175
10/2/24,44.2,0.00072144
10/1/24,45.43,0.00072295
9/30/24,46.26,0.00072253
9/29/24,47.62,0.00072445
9/28/24,47.99,0.00072975
9/27/24,47.81,0.00072845
9/26/24,46.45,0.00072254
9/25/24,44.27,0.00069451
9/24/24,43.84,0.00069007
9/23/24,43.66,0.00068732
9/22/24,43.29,0.00068742
9/21/24,43.67,0.00069191
9/20/24,43.85,0.00069359
9/19/24,43.35,0.00069164
9/18/24,41.52,0.0006903
9/17/24,40.93,0.00068946
9/16/24,40.13,0.00068794
9/15/24,41.32,0.00068855
9/14/24,41.43,0.00068992
9/13/24,40.52,0.00069017
9/12/24,40.1,0.00069107
9/11/24,39.48,0.00069364
9/10/24,40.76,0.00071367
9/9/24,39.66,0.00071223
9/8/24,38.67,0.00071126
9/7/24,38.67,0.00071303
9/6/24,39.67,0.00071768
9/5/24,40.62,0.00071518
9/4/24,40.9,0.00071537
9/3/24,41.82,0.0007137
9/2/24,41.48,0.0007126
9/1/24,41.48,0.00071238
8/31/24,42.19,0.00071407
8/30/24,42.34,0.00071633
8/29/24,42.66,0.00071459
8/28/24,43.09,0.00072654
8/27/24,45.91,0.00073838
8/26/24,46.93,0.0007367
8/25/24,47.16,0.00073514
8/24/24,47.2,0.00073636
8/23/24,49.25,0.00079799
8/22/24,48.27,0.0007955
8/21/24,44.16,0.00073772
8/20/24,44.49,0.00074011
8/19/24,43.19,0.00073612
8/18/24,43.81,0.00073424
8/17/24,43.65,0.00073632
8/16/24,43.12,0.00073762
